stock_id,date,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,漲跌(+/-),均價
9962,2021-12-03,604060,350,9999195,16.5,16.8,16.4,16.4,,16.4,40,16.45,8,,0.0,16.55
9962,2021-12-02,792107,398,12990143,16.4,16.55,16.3,16.4,,16.35,8,16.4,9,,0.0,16.4
9962,2021-12-01,507025,266,8286660,16.2,16.45,16.2,16.4,,16.4,14,16.45,29,,0.1,16.34
9962,2021-11-30,879458,511,14445694,16.55,16.75,16.15,16.3,,16.3,27,16.35,13,,-0.1,16.43
9960,2021-12-03,11156,16,293889,26.4,26.4,26.3,26.3,,26.3,1,26.35,1,,0.1,26.34
9960,2021-12-02,56004,42,1462412,26.45,26.5,26.0,26.2,,26.2,3,26.25,1,,-0.1,26.11
9960,2021-12-01,177012,130,4627663,26.55,26.55,26.0,26.3,,26.25,2,26.3,3,,-0.4,26.14
9960,2021-11-30,35026,41,933117,26.75,26.8,26.45,26.7,,26.4,2,26.7,1,,0.25,26.64
9958,2021-12-03,1578096,1063,177262795,111.5,114.0,110.5,110.5,0.5,110.5,62,111.0,6,18.32,,
9958,2021-12-02,694408,704,77115012,112.5,112.5,110.0,110.0,2.0,110.0,115,110.5,2,18.24,,
9958,2021-12-01,658585,524,73465391,112.0,112.0,110.5,112.0,0.0,111.5,40,112.0,56,18.57,,
9958,2021-11-30,1096801,883,121158747,110.0,112.0,109.0,112.0,3.0,112.0,4,112.5,53,18.57,,
9955,2021-12-03,36538,88,621204,17.0,17.0,16.9,17.0,0.05,16.95,2,17.0,15,0.0,,
9955,2021-12-02,43024,112,728966,16.75,17.1,16.75,17.05,0.0,16.95,1,17.0,1,0.0,,
9955,2021-12-01,46290,72,787686,16.8,17.1,16.75,17.05,0.3,17.05,16,17.1,11,0.0,,
9955,2021-11-30,54673,174,917942,16.85,16.9,16.7,16.75,0.0,16.75,5,16.8,1,0.0,,
9951,2021-12-03,62709,62,4878815,78.1,78.1,77.7,77.8,,77.7,8,77.8,3,,0.5,77.8
9951,2021-12-02,93114,88,7223906,77.2,77.9,77.2,77.3,,77.3,2,77.6,1,,-0.6,77.58
9951,2021-12-01,86406,90,6741886,77.5,78.3,77.5,77.9,,77.9,1,78.1,4,,0.1,78.03
9951,2021-11-30,110677,116,8621679,77.5,78.1,77.5,77.8,,77.8,5,78.0,5,,0.3,77.9
9950,2021-12-03,18060,17,175069,9.98,9.98,9.5,9.83,,9.48,1,9.97,1,,0.13,9.69
9950,2021-12-02,14000,12,133020,9.97,9.97,9.28,9.7,,9.27,1,9.7,1,,-0.19,9.5
9950,2021-12-01,24000,19,228770,9.99,9.99,9.24,9.89,,9.66,1,9.89,4,,-0.1,9.53
9950,2021-11-30,4000,4,38890,10.15,10.15,9.23,9.99,,9.25,1,10.0,3,,0.11,9.72
9949,2021-12-03,37788,99,442143,11.65,11.95,11.55,11.75,,11.6,1,11.75,1,,-0.15,11.7
9949,2021-12-02,84804,118,1002310,12.0,12.05,11.6,11.9,,11.65,1,11.85,1,,-0.15,11.82
9949,2021-12-01,134506,133,1615325,11.5,12.5,11.45,12.05,,11.95,1,12.05,1,,0.45,12.01
9949,2021-11-30,14394,49,166976,11.6,11.6,11.55,11.6,,11.5,27,11.6,2,,0.0,11.6
9946,2021-12-03,121301,70,1852194,15.25,15.35,15.2,15.3,0.0,15.25,4,15.3,33,36.43,,
9946,2021-12-02,142235,68,2168565,15.25,15.35,15.1,15.3,0.05,15.25,1,15.3,4,36.43,,
9946,2021-12-01,72035,52,1095058,15.05,15.25,15.05,15.25,0.05,15.2,2,15.25,5,36.31,,
9946,2021-11-30,51812,37,789880,15.25,15.3,15.2,15.2,0.05,15.2,17,15.3,20,36.19,,
9945,2021-12-03,6029671,4449,384194713,63.6,64.7,63.2,63.4,0.3,63.4,105,63.6,19,8.94,,
9945,2021-12-02,5551094,4752,354946541,64.6,64.6,63.6,63.7,1.1,63.7,312,63.8,40,8.98,,
9945,2021-12-01,4698927,2903,303320221,64.2,65.2,63.4,64.8,0.6,64.8,10,64.9,67,9.14,,
9945,2021-11-30,11755767,4648,758796611,64.3,65.4,64.2,64.2,0.4,64.2,287,64.4,11,9.06,,
9944,2021-12-03,318256,114,7475742,23.4,23.6,23.35,23.6,0.1,23.55,7,23.6,23,71.52,,
9944,2021-12-02,423044,182,9912121,23.45,23.5,23.3,23.5,0.2,23.45,5,23.5,9,71.21,,
9944,2021-12-01,312804,110,7274200,23.2,23.35,23.15,23.3,0.1,23.3,14,23.35,17,70.61,,
9944,2021-11-30,515370,229,11896633,23.2,23.3,22.5,23.2,0.3,23.2,23,23.25,13,70.3,,
9943,2021-12-03,83312,104,5016888,60.1,60.5,60.1,60.1,0.0,60.1,19,60.3,1,240.4,,
9943,2021-12-02,150667,175,9066445,60.1,60.5,60.0,60.1,0.3,60.1,19,60.2,1,240.4,,
9943,2021-12-01,135713,156,8181901,60.5,60.5,60.0,60.4,0.3,60.3,15,60.4,3,241.6,,
9943,2021-11-30,98134,101,5960464,60.8,60.9,60.6,60.7,0.0,60.6,2,60.8,14,242.8,,
9942,2021-12-03,67250,56,5780698,86.1,86.5,85.8,86.0,0.2,85.9,1,86.0,5,13.17,,
9942,2021-12-02,125469,119,10804585,86.5,86.5,85.8,85.8,1.1,85.8,3,86.1,2,13.14,,
9942,2021-12-01,38805,46,3362457,87.0,87.1,86.3,86.9,0.1,86.9,1,87.1,2,13.31,,
9942,2021-11-30,64226,49,5582046,86.5,87.3,86.5,86.8,0.1,86.8,8,87.1,1,13.29,,
9941A,2021-12-02,3119,5,159492,51.1,51.2,51.1,51.2,0.1,51.0,9,51.2,21,0.0,,
9941A,2021-12-01,2357,4,120483,51.2,51.2,51.1,51.1,0.1,51.0,7,51.2,29,0.0,,
9941A,2021-11-30,12188,10,622088,51.1,51.2,51.0,51.2,0.0,50.9,9,51.2,15,0.0,,
9941,2021-12-03,264490,619,45494675,172.0,173.0,170.5,172.0,0.5,171.5,9,172.0,14,18.22,,
9941,2021-12-02,252050,308,43259044,172.5,172.5,170.5,171.5,0.5,171.5,13,172.0,22,18.17,,
9941,2021-12-01,328452,365,56114148,169.0,172.0,169.0,172.0,3.0,171.5,6,172.0,10,18.22,,
9941,2021-11-30,553253,520,94466137,168.5,172.0,168.5,169.0,0.5,169.0,47,170.5,3,17.9,,
9940,2021-12-03,158838,129,5236472,33.0,33.1,32.85,32.95,0.05,32.9,11,32.95,6,10.59,,
9940,2021-12-02,125783,291,4142509,33.05,33.1,32.85,32.9,0.15,32.85,14,32.9,1,10.58,,
9940,2021-12-01,289168,173,9523603,32.55,33.15,32.55,33.05,0.55,33.0,6,33.05,1,10.63,,
9940,2021-11-30,519239,295,17065154,33.3,33.4,32.5,32.5,0.8,32.5,27,33.15,3,10.45,,
9939,2021-12-03,458755,313,31162165,67.5,68.2,67.5,68.1,0.7,68.0,14,68.1,1,10.27,,
9939,2021-12-02,236015,223,15954808,67.7,67.8,67.4,67.4,0.3,67.4,26,67.6,2,10.17,,
9939,2021-12-01,238312,245,16085348,67.1,67.8,67.1,67.7,0.7,67.7,2,67.8,8,10.21,,
9939,2021-11-30,705298,528,47679865,67.2,68.3,67.0,67.0,0.1,67.0,25,67.3,2,10.11,,
9938,2021-12-03,517478,448,40335697,77.4,78.5,77.4,78.2,0.6,78.2,1,78.3,7,11.5,,
9938,2021-12-02,593887,703,45971068,77.5,77.9,77.0,77.6,0.0,77.6,19,77.8,13,11.41,,
9938,2021-12-01,1168332,936,90357441,77.8,78.0,76.8,77.6,0.2,77.6,4,77.7,1,11.41,,
9938,2021-11-30,2020229,1394,156579803,78.8,79.0,76.1,77.8,0.3,77.7,4,77.8,7,11.44,,
9937,2021-12-03,16103,20,785003,48.45,48.9,48.45,48.9,0.3,48.75,1,48.9,1,18.52,,
9937,2021-12-02,20004,15,971693,48.5,48.75,48.5,48.6,0.2,48.6,1,48.8,2,18.41,,
9937,2021-12-01,29423,46,1436291,48.4,49.1,48.4,48.8,0.25,48.8,1,49.0,2,18.48,,
9937,2021-11-30,27078,31,1316824,48.8,48.8,48.45,48.55,0.25,48.55,3,48.75,2,18.39,,
9935,2021-12-03,92514,67,1834106,19.85,19.9,19.75,19.9,0.1,19.85,1,19.9,25,20.1,,
9935,2021-12-02,156150,73,3109979,19.85,20.1,19.8,20.0,0.1,19.8,4,20.0,22,20.2,,
9935,2021-12-01,170213,58,3394764,19.95,20.0,19.9,19.9,0.1,19.85,38,19.9,1,20.1,,
9935,2021-11-30,162026,89,3231324,20.0,20.05,19.85,20.0,0.0,19.9,1,20.0,8,20.2,,
9934,2021-12-03,401807,109,5944616,14.85,14.85,14.7,14.8,0.1,14.75,5,14.8,9,17.62,,
9934,2021-12-02,117000,63,1732600,14.9,14.95,14.7,14.9,0.0,14.8,1,14.9,19,17.74,,
9934,2021-12-01,575001,174,8572514,14.7,15.05,14.6,14.9,0.05,14.85,9,14.9,47,17.74,,
9934,2021-11-30,310500,109,4577199,14.65,14.85,14.6,14.85,0.25,14.85,2,14.9,10,17.68,,
9933,2021-12-03,561516,486,20235195,35.9,36.15,35.9,36.0,0.15,36.0,48,36.05,22,21.3,,
9933,2021-12-02,858006,697,30784176,35.9,36.0,35.8,35.85,0.2,35.85,28,35.95,4,21.21,,
9933,2021-12-01,925760,715,33253875,35.75,36.1,35.6,36.05,0.3,36.0,14,36.05,18,21.33,,
9933,2021-11-30,1498926,1168,53814554,35.95,36.05,35.75,35.75,0.3,35.75,39,35.8,2,21.15,,
9931,2021-12-03,4071,6,159857,39.05,39.55,39.05,39.55,0.05,39.2,5,39.95,1,21.61,,
9931,2021-12-02,2003,4,78812,39.2,39.5,39.2,39.5,0.25,39.2,3,39.6,1,21.58,,
9931,2021-12-01,7001,8,277289,39.5,39.75,39.5,39.75,0.0,39.45,1,39.9,1,21.72,,
9930,2021-12-03,33574,33,1497382,44.5,44.8,44.5,44.7,0.2,44.65,1,44.8,1,15.31,,
9930,2021-12-02,53000,43,2362300,44.6,45.0,44.4,44.5,0.1,44.45,8,44.5,7,15.24,,
9930,2021-12-01,92690,80,4120919,44.4,44.9,44.2,44.6,0.15,44.55,1,44.75,1,15.27,,
9930,2021-11-30,950558,412,42054462,44.0,44.45,43.6,44.45,0.35,44.4,10,44.5,1,15.22,,
9929,2021-12-03,57793,24,539225,9.4,9.44,9.2,9.43,0.05,9.28,1,9.43,8,0.0,,
9929,2021-12-02,6002,7,56758,9.49,9.49,9.38,9.38,0.02,9.38,2,9.47,2,0.0,,
9929,2021-12-01,5013,8,47411,9.49,9.5,9.4,9.4,0.0,9.34,1,9.47,1,0.0,,
9928,2021-12-02,21067,18,126390,6.0,6.0,6.0,6.0,0.0,6.0,5,6.2,1,0.0,,
9928,2021-11-30,8430,19,51066,6.08,6.08,6.06,6.06,0.06,6.06,1,6.1,1,0.0,,
9926,2021-12-03,6071,7,294135,48.35,48.5,48.35,48.5,0.15,48.4,2,48.5,1,20.21,,
9926,2021-12-02,10506,15,509121,48.9,48.9,48.35,48.35,0.55,48.35,1,48.85,1,20.15,,
9926,2021-12-01,21011,14,1025739,48.6,49.0,48.6,48.9,0.0,48.65,3,49.0,1,20.38,,
9925,2021-12-03,110346,123,4335994,39.15,39.5,39.1,39.5,0.35,39.4,4,39.5,17,16.06,,
9925,2021-12-02,104208,103,4097255,39.55,39.55,39.15,39.15,0.4,39.15,1,39.25,1,15.91,,
9925,2021-12-01,160443,123,6325430,39.3,39.55,39.2,39.55,0.2,39.45,2,39.55,26,16.08,,
9925,2021-11-30,296766,162,11722666,39.0,39.75,38.95,39.75,0.7,39.15,1,39.75,8,16.16,,
9924,2021-12-03,72233,65,2961753,41.0,41.05,40.95,41.05,0.15,41.0,2,41.05,3,11.43,,
9924,2021-12-02,66010,54,2698511,40.95,41.1,40.75,40.9,0.05,40.9,7,40.95,1,11.39,,
9924,2021-12-01,59252,53,2420105,40.9,40.95,40.6,40.95,0.05,40.85,8,40.95,1,11.41,,
9924,2021-11-30,111514,84,4570294,41.45,41.45,40.85,40.9,0.2,40.9,11,41.0,1,11.39,,
9921,2021-12-03,475125,980,148797953,315.0,315.0,312.5,312.5,4.5,312.0,7,313.0,6,19.07,,
9921,2021-12-02,1302704,847,410344469,310.0,317.5,308.0,317.0,7.5,314.5,8,317.0,8,19.34,,
9921,2021-12-01,630071,1024,195675528,307.0,313.0,307.0,309.5,2.0,309.5,32,310.5,4,18.88,,
